Epoch; Average Loss	
1; 0.020493	
2; 0.012968	
3; 0.011523	
4; 0.010620	
5; 0.010994	
6; 0.009995	
7; 0.010190	
8; 0.010057	
9; 0.010108	
10; 0.009345	
11; 0.009846	
12; 0.009191	
13; 0.009019	
14; 0.009423	
15; 0.009112	
16; 0.009121	
17; 0.008832	
18; 0.008877	
19; 0.009208	
20; 0.009436	
21; 0.008685	
22; 0.008991	
23; 0.008154	
24; 0.008832	
25; 0.008689	
26; 0.008466	
27; 0.008546	
28; 0.008991	
29; 0.008843	
30; 0.008867	
31; 0.008565	
32; 0.008366	
33; 0.008680	
34; 0.008419	
35; 0.008525	
36; 0.008254	
37; 0.008426	
38; 0.008215	
39; 0.008290	
40; 0.008341	
41; 0.009091	
42; 0.007987	
43; 0.008100	
44; 0.008356	
45; 0.008319	
46; 0.008305	
47; 0.008758	
48; 0.008023	
49; 0.008619	
50; 0.008235	
51; 0.008002	
52; 0.007996	
53; 0.008430	
54; 0.008099	
55; 0.007745	
56; 0.008194	
57; 0.007819	
58; 0.008090	
59; 0.008339	
60; 0.008353	
61; 0.008793	
62; 0.008286	
63; 0.008176	
64; 0.007996	
65; 0.008083	
66; 0.008656	
67; 0.008040	
68; 0.008146	
69; 0.008741	
70; 0.007843	
71; 0.007702	
72; 0.007636	
73; 0.008362	
74; 0.007875	
75; 0.007974	
76; 0.007891	
77; 0.008058	
78; 0.007752	
79; 0.008227	
80; 0.007863	
81; 0.007608	
82; 0.007766	
83; 0.007457	
84; 0.007959	
85; 0.007874	
86; 0.007474	
87; 0.008236	
88; 0.007877	
89; 0.007051	
90; 0.007630	
91; 0.007343	
92; 0.008185	
93; 0.007739	
94; 0.007863	
95; 0.007999	
96; 0.008112	
97; 0.007941	
98; 0.008258	
99; 0.008133	
100; 0.007733	
101; 0.007700	
102; 0.007611	
103; 0.007813	
104; 0.007702	
105; 0.008241	
106; 0.008172	
107; 0.008077	
108; 0.007766	
109; 0.008158	
110; 0.007945	
111; 0.007842	
112; 0.007893	
113; 0.008224	
114; 0.007647	
115; 0.007716	
116; 0.007984	
117; 0.007533	
118; 0.007747	
119; 0.008042	
120; 0.007616	
121; 0.008601	
122; 0.007775	
123; 0.008163	
124; 0.007892	
125; 0.007990	
126; 0.007592	
127; 0.007374	
128; 0.008127	
129; 0.007998	
130; 0.007580	
131; 0.007317	
132; 0.007880	
133; 0.007587	
134; 0.007872	
135; 0.007890	
136; 0.007822	
137; 0.007806	
138; 0.007253	
139; 0.007512	
140; 0.007953	
141; 0.007744	
142; 0.007597	
143; 0.007676	
144; 0.007926	
145; 0.007328	
146; 0.008067	
147; 0.007824	
148; 0.008121	
149; 0.007991	
150; 0.007493	
151; 0.007518	
152; 0.007057	
153; 0.008210	
154; 0.008065	
155; 0.007818	
156; 0.007579	
157; 0.007373	
158; 0.007659	
159; 0.007799	
160; 0.007282	
161; 0.007754	
162; 0.007497	
163; 0.007639	
164; 0.007736	
165; 0.007271	
166; 0.007501	
167; 0.007665	
168; 0.007840	
169; 0.007320	
170; 0.007751	
171; 0.007351	
172; 0.007808	
173; 0.007314	
174; 0.007479	
175; 0.007548	
176; 0.007827	
177; 0.007123	
178; 0.007328	
179; 0.007632	
180; 0.007294	
181; 0.007967	
182; 0.007661	
183; 0.007600	
184; 0.007825	
185; 0.007835	
186; 0.007782	
187; 0.007601	
188; 0.007527	
189; 0.007653	
190; 0.007649	
191; 0.008231	
192; 0.007513	
193; 0.007429	
194; 0.007420	
195; 0.007765	
196; 0.007433	
197; 0.007414	
198; 0.007780	
199; 0.007609	
200; 0.007226	
ConfusionMatrix:
[[    4864       1      12       6       8      31      27       9      22       2]   97.631% 
 [       1    5489      19      17       5      21       5      17      50       8]   97.461% 
 [      27      46    4543      58      52      31      66      61      87      20]   91.024% 
 [      21      19     103    4514       5     247      16      46      62      49]   88.823% 
 [      10      18      16       4    4573       9      50      19      27     138]   94.017% 
 [      41      16      34      79      39    4146      77      14      51      29]   91.604% 
 [      22       7      20       0      21      60    4793       3      12       3]   97.005% 
 [       7      15      34      14      26      10       2    4951      11     105]   95.671% 
 [      31      88      47     117      19     194      41      20    4274      54]   87.492% 
 [      21      23      10      49     106      43       2     167      22    4479]]  91.000% 
 + average row correct: 93.172895312309% 
 + average rowUcol correct (VOC measure): 87.295958995819% 
 + global correct: 93.252%
Avg NLL:0.0075670785884559	
