x={1, 1}, y=1, f(x)=0.47, L=0.75	
x={1, 0}, y=1, f(x)=0.49, L=0.71	
x={1, 0}, y=1, f(x)=0.52, L=0.66	
x={1, 1}, y=1, f(x)=0.56, L=0.58	
x={0, 0}, y=0, f(x)=0.41, L=0.52	
x={1, 0}, y=1, f(x)=0.55, L=0.59	
x={0, 1}, y=1, f(x)=0.44, L=0.83	
x={1, 0}, y=1, f(x)=0.59, L=0.53	
x={0, 1}, y=1, f(x)=0.48, L=0.74	
x={1, 0}, y=1, f(x)=0.62, L=0.47	
x={0, 0}, y=0, f(x)=0.45, L=0.60	
x={0, 0}, y=0, f(x)=0.44, L=0.58	
x={1, 1}, y=1, f(x)=0.67, L=0.40	
x={1, 0}, y=1, f(x)=0.63, L=0.46	
x={0, 0}, y=0, f(x)=0.45, L=0.60	
x={1, 1}, y=1, f(x)=0.70, L=0.36	
x={0, 1}, y=1, f(x)=0.52, L=0.66	
x={0, 1}, y=1, f(x)=0.54, L=0.61	
x={0, 1}, y=1, f(x)=0.56, L=0.57	
x={1, 0}, y=1, f(x)=0.68, L=0.38	
x={1, 0}, y=1, f(x)=0.70, L=0.36	
x={1, 1}, y=1, f(x)=0.79, L=0.23	
x={0, 1}, y=1, f(x)=0.61, L=0.49	
x={0, 0}, y=0, f(x)=0.51, L=0.71	
x={1, 0}, y=1, f(x)=0.72, L=0.33	
x={0, 0}, y=0, f(x)=0.50, L=0.70	
x={1, 0}, y=1, f(x)=0.72, L=0.33	
x={0, 0}, y=0, f(x)=0.50, L=0.69	
x={1, 1}, y=1, f(x)=0.81, L=0.21	
x={1, 0}, y=1, f(x)=0.73, L=0.32	
x={0, 0}, y=0, f(x)=0.50, L=0.69	
x={1, 1}, y=1, f(x)=0.82, L=0.20	
x={0, 0}, y=0, f(x)=0.49, L=0.67	
x={1, 1}, y=1, f(x)=0.82, L=0.20	
x={1, 0}, y=1, f(x)=0.73, L=0.31	
x={1, 1}, y=1, f(x)=0.83, L=0.18	
x={0, 0}, y=0, f(x)=0.49, L=0.68	
x={0, 1}, y=1, f(x)=0.62, L=0.48	
x={1, 1}, y=1, f(x)=0.84, L=0.17	
x={0, 1}, y=1, f(x)=0.64, L=0.44	
x={0, 0}, y=0, f(x)=0.50, L=0.70	
x={0, 1}, y=1, f(x)=0.65, L=0.43	
x={1, 1}, y=1, f(x)=0.86, L=0.15	
x={0, 0}, y=0, f(x)=0.50, L=0.70	
x={1, 0}, y=1, f(x)=0.75, L=0.28	
x={1, 0}, y=1, f(x)=0.76, L=0.27	
x={1, 0}, y=1, f(x)=0.77, L=0.26	
