x1, x2, y_hat	
0.000000, 0.560000, 0.482105	
0.000000, 0.570000, 0.499840	
0.000000, 0.580000, 0.517446	
0.010000, 0.570000, 0.481324	
0.010000, 0.580000, 0.499063	
0.010000, 0.590000, 0.516678	
0.020000, 0.580000, 0.480542	
0.020000, 0.590000, 0.498287	
0.020000, 0.600000, 0.515908	
0.030000, 0.600000, 0.497510	
0.030000, 0.610000, 0.515139	
0.040000, 0.610000, 0.496733	
0.040000, 0.620000, 0.514369	
0.050000, 0.620000, 0.495955	
0.050000, 0.630000, 0.513598	
0.060000, 0.630000, 0.495178	
0.060000, 0.640000, 0.512827	
0.070000, 0.640000, 0.494400	
0.070000, 0.650000, 0.512056	
0.080000, 0.650000, 0.493622	
0.080000, 0.660000, 0.511285	
0.090000, 0.660000, 0.492844	
0.090000, 0.670000, 0.510513	
0.100000, 0.670000, 0.492065	
0.100000, 0.680000, 0.509741	
0.110000, 0.680000, 0.491286	
0.110000, 0.690000, 0.508969	
0.120000, 0.690000, 0.490507	
0.120000, 0.700000, 0.508196	
0.130000, 0.700000, 0.489728	
0.130000, 0.710000, 0.507423	
0.140000, 0.710000, 0.488949	
0.140000, 0.720000, 0.506650	
0.150000, 0.720000, 0.488169	
0.150000, 0.730000, 0.505876	
0.160000, 0.730000, 0.487390	
0.160000, 0.740000, 0.505102	
0.170000, 0.740000, 0.486610	
0.170000, 0.750000, 0.504328	
0.180000, 0.750000, 0.485830	
0.180000, 0.760000, 0.503553	
0.190000, 0.760000, 0.485050	
0.190000, 0.770000, 0.502778	
0.200000, 0.770000, 0.484269	
0.200000, 0.780000, 0.502003	
0.200000, 0.790000, 0.519601	
0.210000, 0.780000, 0.483489	
0.210000, 0.790000, 0.501228	
0.210000, 0.800000, 0.518833	
0.220000, 0.790000, 0.482708	
0.220000, 0.800000, 0.500452	
0.220000, 0.810000, 0.518065	
0.230000, 0.800000, 0.481927	
0.230000, 0.810000, 0.499676	
0.230000, 0.820000, 0.517297	
0.240000, 0.810000, 0.481146	
0.240000, 0.820000, 0.498900	
0.240000, 0.830000, 0.516528	
0.250000, 0.820000, 0.480365	
0.250000, 0.830000, 0.498124	
0.250000, 0.840000, 0.515759	
0.260000, 0.840000, 0.497347	
0.260000, 0.850000, 0.514989	
0.270000, 0.850000, 0.496570	
0.270000, 0.860000, 0.514220	
0.280000, 0.860000, 0.495793	
0.280000, 0.870000, 0.513449	
0.290000, 0.870000, 0.495016	
0.290000, 0.880000, 0.512679	
0.300000, 0.880000, 0.494238	
0.300000, 0.890000, 0.511908	
0.310000, 0.890000, 0.493460	
0.310000, 0.900000, 0.511137	
0.320000, 0.900000, 0.492682	
0.320000, 0.910000, 0.510365	
0.330000, 0.910000, 0.491904	
0.330000, 0.920000, 0.509593	
0.340000, 0.920000, 0.491125	
0.340000, 0.930000, 0.508821	
0.350000, 0.930000, 0.490347	
0.350000, 0.940000, 0.508049	
0.360000, 0.940000, 0.489568	
0.360000, 0.950000, 0.507276	
0.370000, 0.950000, 0.488789	
0.370000, 0.960000, 0.506503	
0.380000, 0.960000, 0.488009	
0.380000, 0.970000, 0.505729	
0.390000, 0.970000, 0.487230	
